listing_id,make,model,year,price_inr,km_driven,fuel,payload_kg,gvw_kg,vehicle_category,weight_class,body_type,axle_count,city,papers_verified,condition,purpose_tags,spec_source_url
VEH-000034,BharatBenz,3528C,2025,4385000,34622,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Nagpur,true,good,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000035,Tata,Ace Gold,2014,150000,259521,Diesel,900,1835,mini_truck,light,open,2,Pune,true,good,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel
VEH-000036,BharatBenz,3528C,2018,1355000,156135,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Bengaluru,true,fair,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000037,Tata,Intra V10,2015,180000,151547,Diesel,1000,2120,mini_truck,light,flatbed,2,Hyderabad,true,good,city_delivery|market_transport|logistics,https://smalltruckstest.tatamotors.com/tata-intra-v10
VEH-000038,Mahindra,Blazo X 48,2017,1625000,96442,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Mumbai,true,good,mining|construction|coal|aggregates,https://www.mahindratruckandbus.com/english/pdf/hcv/blazo_48_tipper.pdf
VEH-000039,Tata,Signa 4825.TK,2020,2505000,97427,Diesel,38000,47500,rigid_truck,heavy,tipper,5,Ahmedabad,false,good,mining|construction|coal|aggregates,https://www.tatamotors.com/press-releases/tata-motors-introduces-indias-largest-tipper-truck-the-signa-4825-tk/
VEH-000040,Mahindra,Blazo X 48,2022,2925000,65985,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Mumbai,true,fair,mining|construction|coal|aggregates,https://www.mahindratruckandbus.com/english/pdf/hcv/blazo_48_tipper.pdf
VEH-000041,Mahindra,Bolero Pik-Up,2015,235000,407784,Diesel,1700,3490,pickup,light,open,2,Mumbai,false,good,regional_delivery|agriculture|construction,https://auto.mahindra.com/on/demandware.static/-/Sites-amc-Library/en_IN/-/media/project/mahindra/dotcom/mahindra/in-news---home/pr/brochure/1st.pdf
VEH-000042,Ashok Leyland,AVTR 4825 10x2,2022,3050000,168116,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Jaipur,true,good,construction|coal|aggregates|roadwork,https://www.ashokleyland.com/in/pressrelease/ashok-leyland-launches-avtr-4825-10x2-tipper-with-tandem-dummy-axle
VEH-000043,Eicher,Pro 2118,2020,955000,121497,Diesel,12800,18000,rigid_truck,medium,flatbed,2,Hyderabad,true,fair,regional_delivery|construction|industrial_goods|market_transport,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/medium-duty/pro-2118
VEH-000044,BharatBenz,3528C,2020,2065000,43149,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Indore,true,fair,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000045,Mahindra,Bolero Pik-Up,2020,410000,218619,Diesel,1700,3490,pickup,light,open,2,Mumbai,false,good,regional_delivery|agriculture|construction,https://auto.mahindra.com/on/demandware.static/-/Sites-amc-Library/en_IN/-/media/project/mahindra/dotcom/mahindra/in-news---home/pr/brochure/1st.pdf
VEH-000046,Tata,Ace Gold,2014,150000,200818,CNG,660,1630,mini_truck,light,box,2,Chennai,true,fair,city_delivery|last_mile|fmcg|vegetable_delivery,https://smalltrucks.tatamotors.com/assets/smalltrucks/files/2025-01/ACE%20GOLD%20CNG.pdf
VEH-000047,Eicher,Pro 2118,2019,990000,88213,Diesel,12800,18000,rigid_truck,medium,flatbed,2,Chennai,true,fair,regional_delivery|construction|industrial_goods|market_transport,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/medium-duty/pro-2118
VEH-000048,BharatBenz,3528C,2021,2185000,142423,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Mumbai,true,good,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000049,Mahindra,Blazo X 48,2016,1325000,239958,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Pune,true,good,mining|construction|coal|aggregates,https://www.mahindratruckandbus.com/english/pdf/hcv/blazo_48_tipper.pdf
VEH-000050,Eicher,Pro 2059 Plus,2018,450000,174607,Diesel,,7490,rigid_truck,intermediate,open,2,Jaipur,true,good,city_delivery|last_mile|ecommerce|fmcg,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/light-duty/pro-2059
VEH-000051,Tata,Ace Gold,2021,290000,134645,Diesel,900,1835,mini_truck,light,open,2,Indore,true,good,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel
VEH-000052,Tata,Intra V30 Gold,2023,530000,20410,Diesel,1500,2775,pickup,light,open,2,Kolkata,true,fair,regional_delivery|construction|logistics,https://smalltrucks.tatamotors.com/tata-intra-v30-gold
VEH-000053,Ashok Leyland,AVTR 4825 10x2,2014,1255000,348362,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Chennai,false,good,construction|coal|aggregates|roadwork,https://www.ashokleyland.com/in/pressrelease/ashok-leyland-launches-avtr-4825-10x2-tipper-with-tandem-dummy-axle
VEH-000054,Tata,Signa 4932.T,2019,2255000,88981,Diesel,35300,49000,rigid_truck,heavy,flatbed,5,Mumbai,true,fair,long_haul|industrial_goods|steel|market_transport,https://trucks.tatamotors.com/assets/trucks/files/2026-01/tata-signa-4932t.pdf
VEH-000055,BharatBenz,4828RT,2023,3405000,100963,Diesel,36350,47500,rigid_truck,heavy,tipper,5,Pune,true,good,mining|construction|coal|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/4828rt_74.pdf
VEH-000056,Ashok Leyland,Bada Dost i6,2017,370000,230548,Diesel,2357,4100,pickup,light,open,2,Kolkata,true,good,heavy_delivery|construction|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i6-lx/specification
VEH-000057,Tata,Intra V30 Gold,2015,205000,212925,Diesel,1500,2775,pickup,light,open,2,Pune,true,good,regional_delivery|construction|logistics,https://smalltrucks.tatamotors.com/tata-intra-v30-gold
VEH-000058,Tata,Intra V50,2020,365000,132640,Diesel,1500,2940,pickup,light,flatbed,2,Bengaluru,true,excellent,regional_delivery|construction|industrial_goods,https://smalltrucks.tatamotors.com/sites/default/files/product/brochure/Intra_V50%20Brochure%20Low%20res.pdf
VEH-000059,Mahindra,Bolero Pik-Up,2019,325000,134704,Diesel,1700,3490,pickup,light,open,2,Bengaluru,false,good,regional_delivery|agriculture|construction,https://auto.mahindra.com/on/demandware.static/-/Sites-amc-Library/en_IN/-/media/project/mahindra/dotcom/mahindra/in-news---home/pr/brochure/1st.pdf
VEH-000060,Tata,Ultra T.9,2016,400000,202284,Diesel,,9150,rigid_truck,intermediate,open,2,Bengaluru,false,fair,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t9
VEH-000061,BharatBenz,3528C,2014,1095000,393741,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Delhi,true,good,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000062,Mahindra,Jeeto Strong Diesel,2015,150000,382403,Diesel,815,1605,mini_truck,light,box,2,Nagpur,false,good,city_delivery|last_mile|vegetable_delivery,https://mahindralastmilemobility.com/jeeto-strong-diesel-cargo
VEH-000063,BharatBenz,1015R,2016,595000,286521,Diesel,,10600,rigid_truck,intermediate,box,2,Jaipur,true,excellent,regional_delivery|fmcg|cold_chain|market_transport,https://www.bharatbenz.com/trucks/mdt-specifications-1015r-41
VEH-000064,Mahindra,Jeeto Strong Diesel,2022,250000,83665,Diesel,815,1605,mini_truck,light,box,2,Kolkata,false,fair,city_delivery|last_mile|vegetable_delivery,https://mahindralastmilemobility.com/jeeto-strong-diesel-cargo
VEH-000065,Tata,Ace Gold,2018,285000,77681,Diesel,900,1835,mini_truck,light,open,2,Delhi,true,excellent,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel
VEH-000066,Tata,Signa 4825.TK,2025,5210000,13681,Diesel,38000,47500,rigid_truck,heavy,tipper,5,Mumbai,true,excellent,mining|construction|coal|aggregates,https://www.tatamotors.com/press-releases/tata-motors-introduces-indias-largest-tipper-truck-the-signa-4825-tk/
VEH-000067,Ashok Leyland,Partner 6 Tyre,2018,490000,217212,Diesel,4885,7490,rigid_truck,intermediate,open,2,Indore,true,good,city_delivery|regional_delivery|logistics|industrial_goods,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/partner/specification?productId=1645
VEH-000068,Mahindra,Blazo X 48,2021,2545000,59980,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Jaipur,true,fair,mining|construction|coal|aggregates,https://www.mahindratruckandbus.com/english/pdf/hcv/blazo_48_tipper.pdf
VEH-000069,Ashok Leyland,AVTR 4825 10x2,2024,3935000,60025,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Kolkata,false,good,construction|coal|aggregates|roadwork,https://www.ashokleyland.com/in/pressrelease/ashok-leyland-launches-avtr-4825-10x2-tipper-with-tandem-dummy-axle
VEH-000070,Tata,Ultra T.16,2016,670000,259246,Diesel,11000,16140,rigid_truck,medium,container,2,Mumbai,true,good,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t16
VEH-000071,Mahindra,Bolero Pik-Up,2018,360000,88617,Diesel,1700,3490,pickup,light,open,2,Bengaluru,true,good,regional_delivery|agriculture|construction,https://auto.mahindra.com/on/demandware.static/-/Sites-amc-Library/en_IN/-/media/project/mahindra/dotcom/mahindra/in-news---home/pr/brochure/1st.pdf
VEH-000072,Ashok Leyland,Bada Dost,2015,195000,196092,CNG,1246,2880,mini_truck,light,reefer,2,Bengaluru,false,fair,city_delivery|fmcg|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-cng/specification
VEH-000073,Eicher,Pro 2059 Plus,2022,880000,38563,Diesel,,7490,rigid_truck,intermediate,open,2,Hyderabad,true,good,city_delivery|last_mile|ecommerce|fmcg,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/light-duty/pro-2059
VEH-000074,Ashok Leyland,Dost XL,2020,360000,83226,Diesel,1400,2625,mini_truck,light,flatbed,2,Pune,true,good,city_delivery|regional_delivery|logistics,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/dost-xl/specification
VEH-000075,BharatBenz,3528C,2025,4685000,30512,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Ahmedabad,true,excellent,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000076,BharatBenz,1917R,2014,730000,281507,Diesel,10000,18500,rigid_truck,medium,tanker,2,Bengaluru,true,excellent,regional_delivery|fuel_transport|water_transport|industrial_goods,https://www.bharatbenz.com/trucks/mdt-specifications-1917r-73
VEH-000077,Eicher,Pro 2118,2018,940000,212320,Diesel,12800,18000,rigid_truck,medium,flatbed,2,Pune,true,good,regional_delivery|construction|industrial_goods|market_transport,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/medium-duty/pro-2118
VEH-000078,Tata,Intra V50,2022,565000,53102,Diesel,1500,2940,pickup,light,flatbed,2,Indore,true,good,regional_delivery|construction|industrial_goods,https://smalltrucks.tatamotors.com/sites/default/files/product/brochure/Intra_V50%20Brochure%20Low%20res.pdf
VEH-000079,Ashok Leyland,Bada Dost i6,2018,340000,151805,Diesel,2357,4100,pickup,light,open,2,Pune,true,fair,heavy_delivery|construction|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i6-lx/specification
VEH-000080,Tata,Intra V30 Gold,2020,360000,75041,Diesel,1500,2775,pickup,light,open,2,Mumbai,true,good,regional_delivery|construction|logistics,https://smalltrucks.tatamotors.com/tata-intra-v30-gold
VEH-000081,Tata,Intra V10,2015,155000,357698,Diesel,1000,2120,mini_truck,light,flatbed,2,Bengaluru,true,fair,city_delivery|market_transport|logistics,https://smalltruckstest.tatamotors.com/tata-intra-v10
VEH-000082,Tata,Ace Gold,2021,325000,95449,CNG,660,1630,mini_truck,light,box,2,Hyderabad,true,excellent,city_delivery|last_mile|fmcg|vegetable_delivery,https://smalltrucks.tatamotors.com/assets/smalltrucks/files/2025-01/ACE%20GOLD%20CNG.pdf
VEH-000083,Ashok Leyland,Bada Dost i4,2021,560000,67279,Diesel,1825,3490,pickup,light,container,2,Hyderabad,true,excellent,regional_delivery|construction|logistics,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i41/specification
VEH-000084,Ashok Leyland,Bada Dost,2019,325000,191878,CNG,1246,2880,mini_truck,light,reefer,2,Bengaluru,true,good,city_delivery|fmcg|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-cng/specification
VEH-000085,Ashok Leyland,Bada Dost i6,2024,885000,56345,Diesel,2357,4100,pickup,light,open,2,Delhi,true,good,heavy_delivery|construction|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i6-lx/specification
VEH-000086,Tata,Ace Gold,2019,215000,174420,CNG,660,1630,mini_truck,light,box,2,Pune,true,good,city_delivery|last_mile|fmcg|vegetable_delivery,https://smalltrucks.tatamotors.com/assets/smalltrucks/files/2025-01/ACE%20GOLD%20CNG.pdf
VEH-000087,Tata,Signa 4932.T,2015,1375000,208611,Diesel,35300,49000,rigid_truck,heavy,flatbed,5,Chennai,false,fair,long_haul|industrial_goods|steel|market_transport,https://trucks.tatamotors.com/assets/trucks/files/2026-01/tata-signa-4932t.pdf
VEH-000088,Ashok Leyland,Bada Dost,2022,450000,96370,CNG,1246,2880,mini_truck,light,reefer,2,Mumbai,true,good,city_delivery|fmcg|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-cng/specification
VEH-000089,Mahindra,Furio 10,2021,995000,90923,Diesel,6000,10350,rigid_truck,intermediate,box,2,Nagpur,true,good,regional_delivery|ecommerce|fmcg|parcel_delivery,https://www.mahindratruckandbus.com/english/pdf/icv/furio-10.pdf
VEH-000090,Tata,Ultra T.9,2016,495000,111179,Diesel,,9150,rigid_truck,intermediate,open,2,Mumbai,true,good,regional_delivery|ecommerce|fmcg|industrial_goods,https://trucks.tatamotors.com/ultra/tata-ultra-t9
VEH-000091,BharatBenz,1917R,2016,840000,108468,Diesel,10000,18500,rigid_truck,medium,tanker,2,Mumbai,true,good,regional_delivery|fuel_transport|water_transport|industrial_goods,https://www.bharatbenz.com/trucks/mdt-specifications-1917r-73
VEH-000092,BharatBenz,1015R,2021,1125000,87062,Diesel,,10600,rigid_truck,intermediate,box,2,Indore,true,good,regional_delivery|fmcg|cold_chain|market_transport,https://www.bharatbenz.com/trucks/mdt-specifications-1015r-41
VEH-000093,Mahindra,Jeeto Strong Diesel,2015,150000,148179,Diesel,815,1605,mini_truck,light,box,2,Pune,false,good,city_delivery|last_mile|vegetable_delivery,https://mahindralastmilemobility.com/jeeto-strong-diesel-cargo
VEH-000094,BharatBenz,3528C,2025,4150000,18185,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Kolkata,false,good,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000095,Tata,Signa 4825.TK,2015,1485000,278177,Diesel,38000,47500,rigid_truck,heavy,tipper,5,Hyderabad,true,excellent,mining|construction|coal|aggregates,https://www.tatamotors.com/press-releases/tata-motors-introduces-indias-largest-tipper-truck-the-signa-4825-tk/
VEH-000096,Tata,Ace Gold,2022,320000,68648,CNG,660,1630,mini_truck,light,box,2,Chennai,true,fair,city_delivery|last_mile|fmcg|vegetable_delivery,https://smalltrucks.tatamotors.com/assets/smalltrucks/files/2025-01/ACE%20GOLD%20CNG.pdf
VEH-000097,Ashok Leyland,AVTR 4825 10x2,2014,1375000,143291,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Delhi,false,excellent,construction|coal|aggregates|roadwork,https://www.ashokleyland.com/in/pressrelease/ashok-leyland-launches-avtr-4825-10x2-tipper-with-tandem-dummy-axle
VEH-000098,Tata,Ace Gold,2015,165000,143378,Diesel,900,1835,mini_truck,light,open,2,Pune,false,good,city_delivery|logistics|construction,https://smalltrucks.tatamotors.com/tata-ace-gold-diesel
VEH-000099,Ashok Leyland,AVTR 4825 10x2,2018,2030000,171457,Diesel,32000,47500,rigid_truck,heavy,tipper,5,Kolkata,true,excellent,construction|coal|aggregates|roadwork,https://www.ashokleyland.com/in/pressrelease/ashok-leyland-launches-avtr-4825-10x2-tipper-with-tandem-dummy-axle
VEH-000100,Mahindra,Bolero Pik-Up,2020,320000,203650,Diesel,1700,3490,pickup,light,open,2,Pune,true,fair,regional_delivery|agriculture|construction,https://auto.mahindra.com/on/demandware.static/-/Sites-amc-Library/en_IN/-/media/project/mahindra/dotcom/mahindra/in-news---home/pr/brochure/1st.pdf
VEH-000101,BharatBenz,4828RT,2023,3675000,69205,Diesel,36350,47500,rigid_truck,heavy,tipper,5,Ahmedabad,true,good,mining|construction|coal|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/4828rt_74.pdf
VEH-000102,Tata,Intra V30 Gold,2014,200000,196717,Diesel,1500,2775,pickup,light,open,2,Mumbai,true,good,regional_delivery|construction|logistics,https://smalltrucks.tatamotors.com/tata-intra-v30-gold
VEH-000103,Eicher,Pro 2118,2019,950000,238671,Diesel,12800,18000,rigid_truck,medium,flatbed,2,Indore,true,good,regional_delivery|construction|industrial_goods|market_transport,https://www.eichertrucksandbuses.com/light-medium-duty-trucks/medium-duty/pro-2118
VEH-000104,Eicher,Pro 6028TM,2024,2930000,35876,Diesel,16500,28000,rigid_truck,heavy,tipper,3,Delhi,false,fair,construction|concrete|infrastructure|roadwork,https://www.eichertrucksandbuses.com/heavy-duty-trucks/tipper/pro-6028tm-224kw
VEH-000105,Tata,Signa 4932.T,2018,2165000,331949,Diesel,35300,49000,rigid_truck,heavy,flatbed,5,Hyderabad,false,good,long_haul|industrial_goods|steel|market_transport,https://trucks.tatamotors.com/assets/trucks/files/2026-01/tata-signa-4932t.pdf
VEH-000106,BharatBenz,3528C,2019,1605000,136787,Diesel,20600,35000,rigid_truck,heavy,tipper,4,Ahmedabad,true,fair,mining|construction|infrastructure|aggregates,https://www.bharatbenz.com/uploads/truck_brochure/3528c-truck.pdf
VEH-000107,Ashok Leyland,Bada Dost i5+,2021,500000,86803,Diesel,2114,3800,pickup,light,flatbed,2,Hyderabad,false,good,heavy_delivery|construction|industrial_goods,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i5-lx-2/specification
VEH-000108,Ashok Leyland,Bada Dost i6,2021,560000,34583,Diesel,2357,4100,pickup,light,open,2,Bengaluru,true,fair,heavy_delivery|construction|regional_delivery,https://www.ashokleyland.com/in/lightvehicles/smallcommercialvechicles/bada-dost-i6-lx/specification
VEH-000109,Mahindra,Furio 10,2015,505000,313884,Diesel,6000,10350,rigid_truck,intermediate,box,2,Bengaluru,true,excellent,regional_delivery|ecommerce|fmcg|parcel_delivery,https://www.mahindratruckandbus.com/english/pdf/icv/furio-10.pdf
VEH-000110,Mahindra,Furio 10,2023,1270000,45914,Diesel,6000,10350,rigid_truck,intermediate,box,2,Mumbai,true,good,regional_delivery|ecommerce|fmcg|parcel_delivery,https://www.mahindratruckandbus.com/english/pdf/icv/furio-10.pdf
